---------Uniform time--------
-----sort-----
1 0.185000
50001 0.083000
100001 0.089000
150001 0.088000
200001 0.087000
250001 0.090000
300001 0.114000
350001 0.106000
400001 0.098000
450001 0.102000
-----quick-----
1 0.000000
50001 0.002000
100001 0.004000
150001 0.006000
200001 0.004000
250001 0.005000
300001 0.006000
350001 0.009000
400001 0.007000
450001 0.007000
-----lazy-----
1 0.047000
50001 0.054000
100001 0.048000
150001 0.054000
200001 0.065000
250001 0.071000
300001 0.057000
350001 0.053000
400001 0.050000
450001 0.047000
-------Normal time-------
-----sort-----
1 0.181000
50001 0.082000
100001 0.086000
150001 0.085000
200001 0.082000
250001 0.082000
300001 0.083000
350001 0.089000
400001 0.082000
450001 0.082000
-----quick-----
1 0.000000
50001 0.002000
100001 0.003000
150001 0.004000
200001 0.004000
250001 0.005000
300001 0.005000
350001 0.007000
400001 0.008000
450001 0.008000
-----lazy-----
1 0.586000
50001 0.048000
100001 0.048000
150001 0.049000
200001 0.048000
250001 0.048000
300001 0.048000
350001 0.049000
400001 0.047000
450001 0.046000
